D (mm),B (mm),B1 (mm),t (mm),Lsl (mm),Wsl (mm),Ssl (mm),Bsl (mm),N,n,Fy (MPa),BC,r (mm),a/h,hst (mm),Vcr (N)
150,45,13,1,60,3,100,9.5,1,6,500,1,2,1,0,4992.4
150,45,13,1,75,3,100,9.5,1,6,500,1,2,1,0,3093.7
150,45,13,1,90,3,100,9.5,1,6,500,1,2,1,0,2624.1
150,45,13,1,60,5,100,9.5,1,6,500,1,2,1,0,4411.7
150,45,13,1,75,5,100,9.5,1,6,500,1,2,1,0,2581.4
150,45,13,1,90,5,100,9.5,1,6,500,1,2,1,0,2320.1
150,45,13,1,60,7,100,9.5,1,6,500,1,2,1,0,3613.1
150,45,13,1,75,7,100,9.5,1,6,500,1,2,1,0,2210.9
150,45,13,1,90,7,100,9.5,1,6,500,1,2,1,0,1990.6
150,45,13,1,60,3,100,9.5,2,6,500,1,2,1,0,4711.8
150,45,13,1,75,3,100,9.5,2,6,500,1,2,1,0,3134.3
150,45,13,1,90,3,100,9.5,2,6,500,1,2,1,0,2232.8
150,45,13,1,60,5,100,9.5,2,6,500,1,2,1,0,4369.5
150,45,13,1,75,5,100,9.5,2,6,500,1,2,1,0,3048.7
150,45,13,1,90,5,100,9.5,2,6,500,1,2,1,0,2586.8
150,45,13,1,60,7,100,9.5,2,6,500,1,2,1,0,4278.7
150,45,13,1,75,7,100,9.5,2,6,500,1,2,1,0,3136.1
150,45,13,1,90,7,100,9.5,2,6,500,1,2,1,0,3044.4
150,45,13,1,60,3,100,9.5,1,8,500,1,2,1,0,4449.6
150,45,13,1,75,3,100,9.5,1,8,500,1,2,1,0,2883.9
150,45,13,1,90,3,100,9.5,1,8,500,1,2,1,0,2111.8
150,45,13,1,60,5,100,9.5,1,8,500,1,2,1,0,4017.8
150,45,13,1,75,5,100,9.5,1,8,500,1,2,1,0,2762.2
150,45,13,1,90,5,100,9.5,1,8,500,1,2,1,0,2308.9
150,45,13,1,60,7,100,9.5,1,8,500,1,2,1,0,3681.0
150,45,13,1,75,7,100,9.5,1,8,500,1,2,1,0,2810.8
150,45,13,1,90,7,100,9.5,1,8,500,1,2,1,0,2755.7
150,45,13,2,60,3,100,9.5,1,6,500,1,4,1,0,43263.1
150,45,13,2,75,3,100,9.5,1,6,500,1,4,1,0,23149.9
150,45,13,2,90,3,100,9.5,1,6,500,1,4,1,0,21233.4
150,45,13,2,60,5,100,9.5,1,6,500,1,4,1,0,38010.4
150,45,13,2,75,5,100,9.5,1,6,500,1,4,1,0,20774.2
150,45,13,2,90,5,100,9.5,1,6,500,1,4,1,0,18883.5
150,45,13,2,60,7,100,9.5,1,6,500,1,4,1,0,31125.7
150,45,13,2,75,7,100,9.5,1,6,500,1,4,1,0,18881.6
150,45,13,2,90,7,100,9.5,1,6,500,1,4,1,0,15872.3
150,45,13,2,60,3,100,9.5,2,6,500,1,4,1,0,39463.5
150,45,13,2,75,3,100,9.5,2,6,500,1,4,1,0,19573.7
150,45,13,2,90,3,100,9.5,2,6,500,1,4,1,0,15493.9
150,45,13,2,60,5,100,9.5,2,6,500,1,4,1,0,35722.1
150,45,13,2,75,5,100,9.5,2,6,500,1,4,1,0,21126.4
150,45,13,2,90,5,100,9.5,2,6,500,1,4,1,0,17117.9
150,45,13,2,60,7,100,9.5,2,6,500,1,4,1,0,34231.7
150,45,13,2,75,7,100,9.5,2,6,500,1,4,1,0,25315.4
150,45,13,2,90,7,100,9.5,2,6,500,1,4,1,0,22102.0
150,45,13,2,60,3,100,9.5,1,8,500,1,4,1,0,37076.0
150,45,13,2,75,3,100,9.5,1,8,500,1,4,1,0,19184.9
150,45,13,2,90,3,100,9.5,1,8,500,1,4,1,0,14755.9
150,45,13,2,60,5,100,9.5,1,8,500,1,4,1,0,33137.2
150,45,13,2,75,5,100,9.5,1,8,500,1,4,1,0,20019.5
150,45,13,2,90,5,100,9.5,1,8,500,1,4,1,0,15596.1
150,45,13,2,60,7,100,9.5,1,8,500,1,4,1,0,29560.8
150,45,13,2,75,7,100,9.5,1,8,500,1,4,1,0,22652.8
150,45,13,2,90,7,100,9.5,1,8,500,1,4,1,0,17874.5
150,45,13,3,60,3,100,9.5,1,6,500,1,6,1,0,138198.7
150,45,13,3,75,3,100,9.5,1,6,500,1,6,1,0,79208.1
150,45,13,3,90,3,100,9.5,1,6,500,1,6,1,0,73459.1
150,45,13,3,60,5,100,9.5,1,6,500,1,6,1,0,120313.6
150,45,13,3,75,5,100,9.5,1,6,500,1,6,1,0,72189.2
150,45,13,3,90,5,100,9.5,1,6,500,1,6,1,0,67881.2
150,45,13,3,60,7,100,9.5,1,6,500,1,6,1,0,97381.5
150,45,13,3,75,7,100,9.5,1,6,500,1,6,1,0,65446.4
150,45,13,3,90,7,100,9.5,1,6,500,1,6,1,0,56408.3
150,45,13,3,60,3,100,9.5,2,6,500,1,6,1,0,124146.9
150,45,13,3,75,3,100,9.5,2,6,500,1,6,1,0,66352.9
150,45,13,3,90,3,100,9.5,2,6,500,1,6,1,0,53399.6
150,45,13,3,60,5,100,9.5,2,6,500,1,6,1,0,108971.1
150,45,13,3,75,5,100,9.5,2,6,500,1,6,1,0,70937.2
150,45,13,3,90,5,100,9.5,2,6,500,1,6,1,0,58376.7
150,45,13,3,60,7,100,9.5,2,6,500,1,6,1,0,102049.2
150,45,13,3,75,7,100,9.5,2,6,500,1,6,1,0,84150.9
150,45,13,3,90,7,100,9.5,2,6,500,1,6,1,0,74089.4
150,45,13,3,60,3,100,9.5,1,8,500,1,6,1,0,117850.2
150,45,13,3,75,3,100,9.5,1,8,500,1,6,1,0,65092.5
150,45,13,3,90,3,100,9.5,1,8,500,1,6,1,0,51214.0
150,45,13,3,60,5,100,9.5,1,8,500,1,6,1,0,103096.8
150,45,13,3,75,5,100,9.5,1,8,500,1,6,1,0,67327.6
150,45,13,3,90,5,100,9.5,1,8,500,1,6,1,0,53730.2
150,45,13,3,60,7,100,9.5,1,8,500,1,6,1,0,89416.9
150,45,13,3,75,7,100,9.5,1,8,500,1,6,1,0,75376.0
150,45,13,3,90,7,100,9.5,1,8,500,1,6,1,0,53514.5
200,45,13,1,60,3,100,9.5,1,6,500,1,2,1,0,4034.2
200,45,13,1,75,3,100,9.5,1,6,500,1,2,1,0,2671.4
200,45,13,1,90,3,100,9.5,1,6,500,1,2,1,0,2103.7
200,45,13,1,60,5,100,9.5,1,6,500,1,2,1,0,3432.1
200,45,13,1,75,5,100,9.5,1,6,500,1,2,1,0,2272.0
200,45,13,1,90,5,100,9.5,1,6,500,1,2,1,0,1859.8
